排名,学校名称,省市,总分,指标得分
1,清华大学,北京,94.6,1589319
2,北京大学,北京,76.5,570497
3,浙江大学,浙江,72.9,352880
4,上海交通大学,上海,72.1,275235
5,复旦大学,上海,65.6,251272
6,中国科学技术大学,安徽,60.9,71038
7,华中科技大学,湖北,58.9,33858
7,南京大学,江苏,58.9,114607
9,中山大学,广东,58.2,202168
10,哈尔滨工业大学,黑龙江,56.7,59905
11,北京航空航天大学,北京,56.3,99223
12,武汉大学,湖北,56.2,161620
13,同济大学,上海,55.7,130671
14,西安交通大学,陕西,55.0,104122
15,四川大学,四川,54.4,81905
16,北京理工大学,北京,54.0,43022
17,东南大学,江苏,53.6,55508
18,南开大学,天津,52.8,72705
19,天津大学,天津,52.3,67633
20,华南理工大学,广东,52.0,26493
21,中南大学,湖南,50.3,31641
22,北京师范大学,北京,49.7,106666
23,山东大学,山东,49.1,27968
23,厦门大学,福建,49.1,399695
25,吉林大学,吉林,48.9,118939
26,大连理工大学,辽宁,48.6,19937
27,电子科技大学,四川,48.4,47721
28,湖南大学,湖南,48.1,34245
29,苏州大学,江苏,47.3,20913
30,西北工业大学,陕西,46.7,19280
31,中国人民大学,北京,46.1,91179
32,华东师范大学,上海,46.0,44868
33,南京航空航天大学,江苏,44.8,9146
34,对外经济贸易大学,北京,44.7,22189
35,南方科技大学,广东,44.6,54977
36,华东理工大学,上海,44.5,14022
37,重庆大学,重庆,44.4,37839
38,南京理工大学,江苏,44.3,11791
39,北京科技大学,北京,43.9,49993
40,东北大学,辽宁,43.7,14226
41,上海大学,上海,43.4,10124
42,北京邮电大学,北京,42.9,8607
42,上海财经大学,上海,42.9,31075
42,中国农业大学,北京,42.9,41583
45,武汉理工大学,湖北,42.8,30028
46,北京交通大学,北京,42.6,56004
46,华中师范大学,湖北,42.6,17496
48,西安电子科技大学,陕西,42.1,32347
49,中央财经大学,北京,41.8,19019
50,北京化工大学,北京,41.7,17883
51,暨南大学,广东,41.5,123132
52,东华大学,上海,41.4,9259
52,兰州大学,甘肃,41.4,10821
52,中南财经政法大学,湖北,41.4,3232
55,宁波诺丁汉大学,浙江,40.3,376
56,哈尔滨工程大学,黑龙江,40.1,10365
56,华北电力大学,北京,40.1,22811
58,深圳大学,广东,40.0,58305
59,江南大学,江苏,39.6,28619
59,南京师范大学,江苏,39.6,7981
61,北京工业大学,北京,39.5,4944
62,福州大学,福建,39.4,3833
63,北京外国语大学,北京,39.3,62784
63,北京语言大学,北京,39.3,2433
63,中国地质大学（武汉）,湖北,39.3,6783
66,西南交通大学,四川,39.2,34482
67,华中农业大学,湖北,39.1,26748
67,中国海洋大学,山东,39.1,6573
69,南京农业大学,江苏,39.0,13669
70,上海外国语大学,上海,38.8,2745
71,中国矿业大学,江苏,38.6,13264
72,中国地质大学（北京）,北京,38.5,462
73,东北财经大学,辽宁,38.2,40801
73,西南财经大学,四川,38.2,0
73,西南大学,重庆,38.2,34513
76,东北师范大学,吉林,38.1,7134
76,南京邮电大学,江苏,38.1,2320
76,中国政法大学,北京,38.1,14103
79,河海大学,江苏,38.0,10132
80,南京信息工程大学,江苏,37.9,0
81,西北农林科技大学,陕西,37.8,15912
82,中国石油大学（华东）,山东,37.4,7705
83,合肥工业大学,安徽,37.3,8900
84,陕西师范大学,陕西,37.2,19743
85,华南师范大学,广东,37.1,31069
85,江苏大学,江苏,37.1,6622
87,南京工业大学,江苏,37.0,2397
87,中国石油大学（北京）,北京,37.0,1210
89,西北大学,陕西,36.9,0
89,浙江工业大学,浙江,36.9,6566
91,北京林业大学,北京,36.8,12452
91,湖南师范大学,湖南,36.8,25140
91,浙江师范大学,浙江,36.8,8935
94,首都师范大学,北京,36.4,3798
95,汕头大学,广东,36.3,225015
96,中国传媒大学,北京,36.2,16793
97,杭州电子科技大学,浙江,36.1,15817
98,扬州大学,江苏,36.0,12229
99,安徽大学,安徽,35.9,5674
100,华侨大学,福建,35.7,38291
